區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
清水區,36,110.39,10,無,590,0.199392055
北屯區,1,217.43,8,有,1691,0.374728005
清水區,0,143.92,10,無,868,0.924689661
西屯區,35,81.77,8,無,500,0.131261734
南屯區,13,136.32,6,有,1273,0.232815251
烏日區,6,154.03,7,有,780,0.121835394
北屯區,39,79.32,9,無,900,0.521262263
西屯區,32,294.12,12,無,4800,0.044521644
西屯區,1,538.02,11,有,7073,0.725654331
南區,17,117.55,7,有,880,0.904033985
清水區,0,180.96,7,有,730,0.544122044
北屯區,37,53.41,5,無,316,0.756684598
西屯區,25,25.88,3,無,123,0.014354001
北屯區,12,103.63,4,有,825,0.290454965
大里區,6,144.41,7,有,959,0.910710636
北區,0,74.83,5,無,600,0.841038517
梧棲區,1,193.46,10,無,1050,0.043320026
西屯區,22,42.42,3,無,228,0.062455035
太平區,41,129.72,8,無,880,0.862294255
烏日區,6,187.5,8,有,975,0.215284203
西區,21,152.32,7,有,850,0.057816523
西屯區,6,328.76,13,無,2808,0.62197654
東區,0,153.74,6,有,840,0.0171204
南屯區,3,150.17,7,有,1310,0.652201409
烏日區,4,160.51,7,有,860,0.0664351
南屯區,0,109.29,4,有,590,0.523341554
后里區,3,110.65,4,有,720,0.150267311
大肚區,0,120.46,5,有,693,0.58173746
潭子區,24,125.19,7,無,628,0.388524406
北屯區,24,275.03,11,無,960,0.602677729
烏日區,0,222.33,12,無,2880,0.056899735
清水區,0,160.08,7,有,600,0.913475259
北屯區,0,178.82,7,有,1027,0.33806186
太平區,0,148.27,6,有,1020,0.072705961
北屯區,38,96.96,7,無,360,0.966716559
大甲區,0,150.67,9,無,760,0.025914287
大里區,0,120.42,5,有,620,0.055043853
南屯區,29,159.45,8,有,812,0.083446607
太平區,12,174.16,11,無,1230,0.345570255
西屯區,47,49.5,3,無,400,0.846962365
西屯區,26,96.12,6,有,498,0.407044395
北區,26,67.78,3,無,380,0.949239841
南屯區,10,107.94,5,有,680,0.161987696
北屯區,30,126.61,9,無,364.345,0.270238864
西屯區,5,215.54,8,有,1736,0.061365781
太平區,2,164.77,7,有,900,0.278775648
大里區,2,154.07,7,有,999,0.692266531
烏日區,0,152.18,7,有,802,0.765095616
太平區,46,110.88,11,無,1015,0.857426194
南屯區,8,105.46,5,有,698,0.346486952
北屯區,0,91.47,4,有,569,0.096401499
大肚區,21,101.71,6,有,315,0.36657021
西區,22,160.97,5,無,960,0.003488041
北屯區,39,85,7,無,250,0.363748012
清水區,0,159.04,7,有,569,0.005663783
霧峰區,41,153.63,7,無,620,0.006431142
西屯區,14,69.67,4,無,580,0.09111613
南屯區,15,149.96,8,無,1530,0.698673015
北區,26,41.96,3,無,160,0.476032282
北屯區,3,265.94,8,有,2100,0.716741121
太平區,5,163.74,7,有,1270,0.151796133
清水區,0,148.03,11,無,846,0.509800246
豐原區,0,124.38,9,有,1050,0.553276945
沙鹿區,0,86.48,5,有,398,0.359670554
北屯區,24,172.93,8,有,700,0.064779085
南屯區,27,233.36,7,有,1120,0.707890804
西屯區,0,127.7,6,有,983,0.631114438
南區,25,153.33,7,有,795,0.221005633
東區,6,161.42,7,有,1000,0.821608976
北區,39,57.34,6,無,375,0.960702916
大雅區,39,51.03,6,無,120,0.760367478
南屯區,30,26.59,3,無,120,0.352629213
大里區,28,133.83,8,無,565,0.900312885
清水區,0,120.44,5,有,435,0.343799425
北屯區,0,153.72,7,有,1077,0.595338594
西屯區,0,127.09,6,有,946,0.218286483
北屯區,0,412.07,12,無,6500,0.90132835
大里區,41,85.47,11,無,481.14,0.069329928
南區,15,118.55,7,無,750,0.91978685
北屯區,10,135.08,7,有,830,0.897430632
北區,38,81.64,6,無,280,0.48904445
東區,25,177.72,11,無,1180,0.090066866
太平區,23,129.28,7,無,498,0.741263375
龍井區,1,177.93,10,無,1040,0.017269141
北區,38,538.03,4,無,5300,0.594010949
北區,1,157.6,7,有,1138,0.710639316
清水區,0,111.14,5,有,465,0.149419777
西屯區,8,253.56,7,有,1788,0.706810973
南屯區,7,154.58,8,有,925,0.752170082
北屯區,27,98.48,7,無,500,0.594597675
大雅區,6,115.86,6,有,780,0.494852616
南屯區,27,47.92,4,無,455,0.468756843
大里區,28,86.76,6,無,420,0.625857621
